1.7.5,2018-10-04 14:59:37 +0100
1.7.4,2018-09-07 09:57:37 +0100
1.7.3,2018-08-03 13:35:40 +0200
1.7.2,2018-06-12 16:34:38 +0300
1.7.1,2018-06-08 16:26:22 +0300
1.7.0,2018-05-11 10:31:53 +0200
1.7.0-rc.0,2018-04-19 10:07:41 +0200
1.6.10,2018-04-17 18:35:33 +0200
1.6.9,2018-02-02 11:19:32 +0100
1.6.8,2017-12-18 15:17:56 +0100
1.6.7,2017-11-24 18:44:04 +0100
1.6.6,2017-08-18 15:12:44 +0200
1.6.5,2017-07-03 22:34:52 +0300
1.6.4,2017-03-31 10:48:25 +0200
1.6.3,2017-03-08 12:44:24 +0100
1.6.2,2017-02-05 17:58:25 +0200
1.6.1,2016-12-23 10:38:58 +0000
1.6.0,2016-12-08 11:07:52 +0000
1.6.0-rc.2,2016-11-24 21:30:56 +0000
1.6.0-rc.1,2016-11-21 13:27:47 +0000
1.6.0-rc.0,2016-10-27 20:28:09 +0100
1.5.11,2017-01-12 11:22:40 +0200
1.5.10,2016-12-16 12:27:04 +0200
1.5.9,2016-11-24 09:27:57 +0000
1.5.8,2016-07-22 16:01:46 +0100
1.5.7,2016-06-14 08:08:25 -0700
1.5.6,2016-05-25 17:00:13 +0100
1.5.5,2016-04-15 14:09:39 +0100
1.5.4,2016-04-14 09:13:48 +0100
1.5.3,2016-03-25 20:01:45 +0000
1.5.2,2016-03-18 15:37:43 -0700
1.5.1,2016-03-14 14:45:29 +0000
1.5.0,2016-02-05 10:04:17 +0000
1.5.0-rc.2,2016-01-28 09:51:01 +0000
1.5.0-rc.1,2016-01-15 20:31:08 +0000
1.5.0-rc.0,2015-12-09 13:50:58 +0000
1.5.0-beta.2,2015-11-17 15:57:27 -0800
1.5.0-beta.1,2015-09-29 13:59:34 -0700
1.5.0-beta.0,2015-09-17 13:42:10 +0100
1.4.14,2016-10-11 14:11:08 +0100
1.4.13,2016-10-10 22:02:52 +0100
1.4.12,2016-06-07 10:44:56 +0200
1.4.11,2016-05-24 16:44:11 +0200
1.4.10,2016-03-14 17:27:49 -0400
1.4.9,2016-01-20 10:11:04 -0800
1.4.8,2015-11-19 14:52:56 -0800
1.4.7,2015-09-29 13:54:51 -0700
1.4.6,2015-09-14 22:43:55 +0200
1.4.5,2015-08-28 12:06:35 -0700
1.4.4,2015-08-13 11:15:10 -0700
1.4.3,2015-07-14 18:26:10 -0700
1.4.2,2015-07-02 14:36:49 +0300
1.4.1,2015-06-15 20:50:59 +0200
1.4.0,2015-05-26 17:34:50 -0700
1.4.0-rc.2,2015-05-07 14:33:28 -0700
1.4.0-rc.1,2015-04-24 11:26:10 -0700
1.4.0-rc.0,2015-04-10 10:44:35 -0700
1.4.0-beta.6,2015-03-15 21:00:39 +0000
1.4.0-beta.5,2015-02-24 17:22:13 +0000
1.4.0-beta.4,2015-02-07 10:26:21 +0000
1.4.0-beta.3,2015-02-03 19:46:22 +0100
1.4.0-beta.2,2015-01-26 14:50:48 -0800
1.4.0-beta.1,2015-01-20 19:42:59 +0100
1.4.0-beta.0,2015-01-14 20:44:32 +0000
1.2.32,2016-10-11 13:48:38 +0100
1.2.31,2016-10-11 07:48:26 +0100
1.2.30,2016-07-20 23:17:37 +0300
1.2.29,2015-09-29 13:18:52 -0700
1.2.28,2014-12-13 21:28:02 -0500
1.2.27,2014-11-20 14:34:26 -0800
1.2.26,2014-10-02 09:46:40 -0700
1.2.25,2014-09-16 15:05:22 -0700
1.2.24,2014-09-09 16:21:16 -0700
1.2.23,2014-08-22 15:56:49 -0700
1.2.22,2014-08-11 17:04:40 +0100
1.2.21,2014-07-25 09:01:43 -0700
1.2.20,2014-07-11 11:26:39 -0700
1.2.19,2014-06-30 16:58:15 -0700
1.2.18,2014-06-13 13:55:33 -0700
1.2.17,2014-06-06 20:13:16 +0100
1.2.16,2014-04-03 14:42:19 -0700
1.2.15,2014-03-21 14:58:48 -0700
1.3.20,2015-09-29 13:54:03 -0700
1.3.19,2015-09-15 13:34:09 +0100
1.3.18,2015-08-18 15:14:56 -0700
1.3.17,2015-07-01 12:16:14 -0700
1.3.16,2015-06-05 13:29:27 -0700
1.3.15,2015-03-15 21:01:49 +0000
1.3.14,2015-02-24 17:22:45 +0000
1.3.13,2015-02-07 19:21:53 +0100
1.3.12,2015-02-02 14:03:17 +0000
1.3.11,2015-01-26 14:20:52 -0800
1.3.10,2015-01-20 19:31:56 +0100
1.3.9,2015-01-13 14:29:29 -0500
1.3.8,2014-12-19 13:22:00 -0800
1.3.7,2014-12-15 13:46:21 +0000
1.3.6,2014-12-08 16:29:39 -0500
1.3.5,2014-12-01 19:54:14 +0100
1.3.4,2014-11-25 00:05:18 +0100
1.3.3,2014-11-17 09:32:21 -0800
